predict_id,predict_mse_score
ARIMA_model_v1_2_2_2_2023-09-07 05:40:22.855679,88.84
ARIMA_model_v1_2_2_2_2023-09-07 10:41:10.337584,91.61
ARIMA_model_v1_2_2_2_2023-09-07 11:41:20.266193,91.95
ARIMA_model_v1_2_2_2_2023-09-07 07:10:36.359418,92.68
ARIMA_model_v1_2_2_2_2023-09-07 06:10:27.440268,105.91
ARIMA_model_v1_1_1_1_2023-09-08 13:43:50.262046,142.89
ARIMA_model_v1_2_2_2_2023-09-07 12:11:25.591834,173.59
ARIMA_model_v1_2_2_2_2023-09-07 06:40:31.481071,189.56
ARIMA_model_v1_1_1_1_2023-09-08 15:14:02.188335,200.22
ARIMA_model_v1_0_0_0_2023-09-08 11:15:25.521341,201.89
ARIMA_model_v1_1_1_1_2023-09-08 14:13:54.286959,206.2
ARIMA_model_v1_2_2_2_2023-09-08 11:45:30.547297,209.59
ARIMA_model_v1_2_2_2_2023-09-08 03:44:16.581976,223.11
ARIMA_model_v1_2_2_2_2023-09-07 10:11:05.989163,259.13
ARIMA_model_v1_2_2_2_2023-09-08 07:14:49.610299,266.13
ARIMA_model_v1_2_2_2_2023-09-08 02:14:02.658848,277.64
ARIMA_model_v1_2_2_2_2023-09-08 04:14:21.983565,282.66
ARIMA_model_v1_0_0_0_2023-09-08 16:44:14.849322,369.12
ARIMA_model_v1_2_2_2_2023-09-07 01:39:49.082698,401.58
ARIMA_model_v1_2_2_2_2023-09-07 12:41:31.361239,417.58
ARIMA_model_v1_2_2_2_2023-09-07 13:11:36.582936,418.15
ARIMA_model_v1_2_2_2_2023-09-07 09:41:00.729638,533.01
ARIMA_model_v1_2_2_2_2023-09-07 02:09:54.281329,544.6
ARIMA_model_v1_2_2_2_2023-09-08 06:44:44.622770,560.99
ARIMA_model_v1_1_1_1_2023-09-08 15:44:05.909065,574.54
ARIMA_model_v1_2_2_2_2023-09-07 15:11:59.395127,624.9
ARIMA_model_v1_2_2_2_2023-09-07 14:11:49.328197,690.8
ARIMA_model_v1_2_2_2_2023-09-06 21:09:10.655946,821.36
ARIMA_model_v1_2_2_2_2023-09-07 18:42:53.399581,912.26
ARIMA_model_v1_2_2_2_2023-09-07 11:11:15.569910,1054.91
ARIMA_model_v1_2_2_2_2023-09-07 22:13:24.154426,1126.42
ARIMA_model_v1_2_2_2_2023-09-07 13:41:42.827345,1191.61
ARIMA_model_v1_2_2_2_2023-09-07 21:43:18.273768,1245.7
ARIMA_model_v1_2_2_2_2023-09-08 12:45:40.839275,1330.1
ARIMA_model_v1_2_2_2_2023-09-07 19:12:57.991664,1722.56
ARIMA_model_v1_2_2_2_2023-09-08 12:15:34.919467,1760.67
ARIMA_model_v1_2_2_2_2023-09-08 01:43:57.399604,2245.1
ARIMA_model_v1_1_1_1_2023-09-08 14:43:58.269864,2257.72
ARIMA_model_v1_1_1_1_2023-09-08 16:14:10.679442,2739.75
ARIMA_model_v1_2_2_2_2023-09-08 13:13:46.045561,2833.63
ARIMA_model_v1_2_2_2_2023-09-07 22:43:27.965672,2896.82
ARIMA_model_v1_2_2_2_2023-09-07 14:41:55.128390,5600.99
ARIMA_model_v1_2_2_2_2023-09-07 23:13:32.873130,8900.58
