           ,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
 0:01- 1:00,78,74,74,77,75,70,76,85,90,73,81,79
 1:01- 2:00,78,75,75,78,77,72,77,87,91,74,81,78
 2:01- 3:00,77,76,76,79,78,72,78,87,92,76,82,79
 3:01- 4:00,77,77,76,80,80,74,79,87,92,78,82,79
 4:01- 5:00,78,78,76,81,81,76,79,88,92,79,82,79
 5:01- 6:00,77,78,76,80,81,76,79,86,92,79,82,79
 6:01- 7:00,76,78,73,75,72,72,75,80,86,78,84,79
 7:01- 8:00,74,77,71,68,64,68,69,75,76,76,81,78
 8:01- 9:00,71,75,68,64,58,65,64,70,69,69,77,76
 9:01-10:00,67,71,65,61,54,61,60,64,64,62,71,73
10:01-11:00,64,67,63,59,50,57,56,62,61,56,69,70
11:01-12:00,63,64,61,58,48,55,54,61,58,52,66,68
12:01-13:00,61,62,60,57,47,54,54,59,55,51,64,66
13:01-14:00,60,63,58,55,46,53,53,60,55,50,62,67
14:01-15:00,60,63,57,53,47,52,51,60,55,50,62,66
15:01-16:00,61,64,59,53,48,51,51,61,56,52,65,68
16:01-17:00,65,66,61,54,49,50,51,63,59,55,69,70
17:01-18:00,68,69,63,57,53,51,53,66,65,59,71,72
18:01-19:00,71,70,66,60,57,53,58,71,71,62,73,73
19:01-20:00,71,71,68,64,63,57,62,76,75,64,74,75
20:01-21:00,73,72,71,67,66,61,67,80,80,65,75,76
21:01-22:00,75,72,71,69,71,63,70,81,81,68,78,77
22:01-23:00,75,73,72,73,74,66,74,83,85,70,79,77
23:01-24:00,76,74,73,76,75,68,75,84,87,71,79,77
 Max Hour  ,5,7,6,5,5,6,6,5,5,6,7,4
 Min Hour  ,14,13,15,15,14,17,16,13,14,14,15,13
